FILE,DEV_ONLY,LOCAL_ONLY
controllers\classroomController.js,0,0
controllers\componentController.js,4,41
controllers\progressController.js,0,0
controllers\userController.js,4,12
controllers\libController.js,2,2
routes\api.js,0,0
routes\auth.js,0,0
routes\classroom.js,0,0
routes\compile.js,1,12
routes\progress.js,0,0
routes\user.js,0,0
models\Assignment.js,0,0
models\Class.js,0,0
models\Comment.js,0,0
models\Notice.js,0,0
models\Progress.js,0,0
models\Project.js,0,0
models\Submission.js,0,0
models\User.js,0,0
models\UserProgress.js,0,0
server.js,1,24
loadEnv.js,0,0

