FILE,DEV_ONLY,LOCAL_ONLY,DEV_LINES,LOCAL_LINES
services\authService.js,1,2,214,215
services\classroomService.js,0,0,299,299
services\offlineCache.js,0,0,160,160
services\projectStore.js,0,0,182,182
services\simulatorService.js,0,18,145,163
main.jsx,0,0,20,20
context\AuthContext.jsx,1,1,131,131
context\GamificationContext.jsx,2,5,361,364
components\auth\ProtectedRoute.jsx,4,6,31,33
pages\simulationpage\useHardwareFlashing.js,1,5,124,128
pages\simulationpage\webSerialHardware.js,3,5,157,159
pages\simulationpage\wireUtils.js,0,0,121,121
pages\simulationpage\utils\simulatorUtils.js,0,0,54,54
pages\simulationpage\utils\wireUtils.js,0,0,122,122
pages\simulationpage\constants\groupVisuals.jsx,0,0,27,27
pages\simulationpage\components\SimulatorBanners.jsx,0,0,36,36
worker\test-run.ts,0,0,48,48

